Counter,Q,Time
0,0,0
0,0,0
0.6049995,0.3871997,0
0.9263991,0.982399,0
1.843198,1.831598,0
3.395696,3.044296,0
5.573193,4.668094,0
8.006389,6.61729,0
11.06768,8.839087,0
10.43159,11.54998,0
13.88278,9.860485,0
16.91397,8.542288,0
21.35297,10.82148,0
22.20697,13.73868,0
26.96426,12.57658,0
32.35545,16.14497,0
35.96745,17.88517,0
43.09993,22.78426,0
50.10034,27.74076,0
58.57397,33.17479,0
67.64931,39.88374,0
76.839,47.15638,0
92.62559,59.96046,0
106.0514,69.6757,0
113.2826,80.44897,0
130.1845,77.84025,0
146.5998,104.6355,0
163.5884,114.29,0
183.5616,129.155,0
155.3163,128.3174,0
173.229,145.7844,0
192.4234,162.4758,0
204.7716,171.6463,0
234.9098,193.5963,0
258.2192,217.5619,0
284.159,240.5783,0
298.9312,265.2668,0
331.232,291.7585,0
363.119,324.9952,0
395.6125,356.799,0
343.2898,335.4535,0
446.5452,406.536,0
485.6501,441.1976,0
508.5827,471.5193,0
569.1727,506.4429,0
613.4395,548.1434,0
660.0056,588.4819,0
684.1525,632.611,0
736.309,655.4835,0
779.9968,713.0325,0
840.5513,763.1797,0
870.837,815.6707,0
931.1686,842.8227,0
994.2505,885.0792,0
1030.788,962.8251,0
1112.114,1021.9,0
1185.947,1080.779,0
1262.977,1144.87,0
1302.709,1185.179,0
1384.623,1259.676,0
1483.378,1353.363,0
1565.749,1435.073,0
1665.634,1516.689,0
1758.291,1601.417,0
1807.803,1644.954,0
1925.568,1768.833,0
2040.135,1866.803,0
2137.755,1968.399,0
1881.006,1712.46,0
1979.109,1798.64,0
2080.727,1899.477,0
2198.823,2004.107,0
2259.577,2053.752,0
2384.505,2168.615,0
2444.094,2296.859,0
2580.783,2369.815,0
2707.834,2491.755,0
2783.101,2588.405,0
2906.581,2707.693,0
3033.919,2830.664,0
2646.653,2534.512,0
3300.362,3010.012,0
3463.16,3182.492,0
3546.616,3256.2,0
3686.704,3401.127,0
3855.95,3538.212,0
4058.564,3617.292,0
4238.234,3823.342,0
4333.463,3984.515,0
4535.327,4156.843,0
4620.724,4244.833,0
4839.028,4417.472,0
5011.135,4594.712,0
