Q,Counter
46502.09,1543.549
43951.72,1593.271
47559.52,1644.548
48355.91,1701.76
49458.04,1755.66
50420.32,1303.318
51169.35,1004.038
51615.57,1946.955
52516.05,2010.893
53321.65,2064.574
54313.91,2125.705
55174.54,2191.623
56008.04,2265.935
56556.3,2339.162
57570.3,2414.519
58598.4,2492.05
59467.28,2557.194
60537.01,2642.697
61348.04,2726.896
61736.9,2809.522
63032.12,2898.316
64025.79,2988.939
64627.17,3077.788
66086.52,3173.33
66536.99,3271.435
68026.26,3372.155
68947.8,3470.734
70090.79,3581.449
70688.65,3685.113
61747.99,3801.483
47016.81,3936.7
34493.83,4054.276
28904.46,4125.119
23849.45,4258.59
16038.63,4384.068
12978.21,1838.886
8517.152,1919.97
1884.951,2007.504
1491.024,2101.947
1538.677,2191.354
1622.014,2241.263
1658.796,2360.872
1719.03,2467.076
1810.498,2576.735
1243.454,2656.502
1939.526,2762.336
1313.115,2432.663
943.7673,2667.809
2146.41,3103.443
2208.968,3227.168
2257.133,3315.283
2292.962,3445.623
2377.854,3577.974
2440.749,3719.915
2508.23,3786.281
2583.722,3958.985
2657.948,4104.956
2737.503,4261.221
2819.321,4421.561
2892.804,4579.113
2928.43,4733.378
3030.421,4811.817
3124.33,5022.79
3217.069,5202.114
3280.303,5378.161
2047.5,5566.332
1227.835,5751.011
1124.467,5857.31
1175.689,6057.192
1231.252,6270.428
1279.719,6462.314
1317.887,6658.21
1370.962,6876.552
1425.779,7090.336
1459.006,7203.66
1538.137,7453.448
1603.904,6155.991
1200.022,6035.234
897.5375,6260.994
1574.862,6397.441
1862.139,6588.396
1932.607,6801.128
2018.633,7000.254
2097.213,7240.729
2167.478,7467.74
2228.704,7689.842
2317.502,7807.521
2405.239,7424.07
2483.681,8276.302
2568.211,8425.111
2663.436,8709.192
2752.927,8967.336
2867.255,9252.995
2921.37,9443.22
3022.823,9727.997
3127.218,10018.77
3249.49,10160.47
3370.542,10468.02
3474.23,10760.7
3596.635,11058.91
3716.888,11298.93
3834.62,11607.16
3955.263,11960.69
4114.665,12267.58
4254.338,12593.45
4385.01,12758.55
3659.459,13163.59
3759.379,13362.2
3871.538,13692.88
3995.056,14052.54
4145.012,14460.93
4281.43,14657.45
4354.033,15009.67
4508.51,15352.02
4654.495,15843.51
4797.596,16231.48
4939.737,13294.13
5116.23,10798.67
4781.576,8864.217
5426.008,6500.152
5500.764,5168.496
5712.725,4017.007
5887.275,2826.49
6058.147,2025.535
6257.019,1380.186
6436.179,1152.839
6614.933,1190.22
6749.913,1235.981
6921.512,1254.017
7123.002,1302.118
7319.776,1345.405
7557.672,1397.811
7763.51,921.9675
7983.152,1135.702
8148.44,1179.154
8386.119,1314.362
8496.746,1582.04
8741.818,1677.051
9023.712,1731.984
9301.502,1779.43
9552.475,1819.628
9718.875,1870.365
9989.604,1932.377
10242.67,1988.477
10595.41,2054.104
10859.68,2113.514
10993.6,2177.358
11277.53,2257.508
9665.008,2325.342
7467.565,2407.365
6758.204,2450.929
6294.5,2520.886
5998.294,2592.824
5746.121,2673.65
5801.238,2749.962
5856.434,1491.484
5920.139,1528.177
6033.255,1181.991
6098.032,1207.155
5729.916,1262.904
6378.177,1283.981
6504.55,1351.658
6330.866,1405.221
6717.088,1460.74
6831.234,1523.689
6649.886,1591.964
7126.804,1622.905
7179.872,1698.25
7322.896,1208.396
7491.238,1723.809
7634.85,1856.666
7766.013,1984.059
7868.625,2055.324
8021.583,2135.707
8158.254,2182.243
8290.552,2285.283
8434.461,2372.858
8606.483,2467.142
8678.858,2560.31
8865.601,2652.025
9014.899,2746.351
9166.609,2798.904
9320.807,2919.991
9506.395,3026.314
9673.621,3125.979
9836.333,3247.893
9979.036,3363.259
10162.19,3476.561
10264.7,3534.32
10337.32,3695.672
10540.54,3823.263
10704.38,3965.895
10881.64,4053.455
11080.79,4202.813
11167.35,4344.087
11358.15,4406.664
11527.32,4624.665
11727.27,2586.641
11908.63,2577.138
12113.37,2662.559
12273.39,2764.672
12461.63,2869.431
12680.26,2997.881
12801.92,3134.198
13012.76,3263.688
13213.34,3329.771
13419.95,3493.161
13601.85,3632.322
13813.6,3228.871
14041.88,3315.659
14145.09,3823.062
14410.65,4135.588
14607.84,4284.74
14821.04,4439.322
15056.61,4614.762
15260.5,4705.156
15480.83,4875.235
15693.6,5042.132
15939.78,5227.967
16178.83,5410.72
16399.87,5534.939
16698.7,5708.928
16947.74,5894.846
17156.1,6084.89
17288.63,6296.165
17613.06,6486.216
17885.68,6706.887
18138.94,6832.645
18266.79,7051.917
10775.53,7275.914
6995.147,7380.157
4391.183,7640.244
4114.271,7886.505
4067.097,8097.419
4175.294,8281.154
4261.826,8540.85
4379.811,8773.754
4490.602,8902.568
4552.125,7688.656
4709.417,7078.629
4838.98,7270.35
4955.087,7446.777
3940.081,7683.208
4758.517,7885.602
5354.98,8091.596
5380.112,8351.77
5587.515,8576.488
5726.262,8847.563
5876.781,8974.679
5955.1,9211.063
6121.248,8841.697
6277.74,9372.595
6423.673,9958.09
6551.086,10247.47
6702.555,10491.09
6864.547,10706.01
7037.555,10985.08
7245.507,11306.64
7418.879,11457.24
7603.962,11801.15
7768.256,12099.67
8002.925,12430.1
8200.398,12671.88
8402.073,12958.1
8608.038,13276.79
8799.874,13586.78
9014.146,13945.24
9261.7,14266.16
9465.793,14607.19
9703.62,14999.59
7782.603,15383.78
6867.138,15711.72
7049.313,15885.43
7142.042,16301.32
7370.67,16659.02
7564.82,17072.05
7763.46,17340.06
7906.887,17747.46
8113.262,18196.08
8324.246,14635.66
8458.449,9908.025
7982.592,7009.613
8022.53,4159.936
8905.958,3031.246
9439.09,2612.774
9668.187,2031.946
9901.836,1771.906
10077.46,1417.483
10319.01,1425.213
10576.01,1416.069
10706.45,1474.637
11038.21,1528.424
11309.47,1552.645
11562.76,1277.586
11773.31,1680.127
12058.78,1239.44
12325.35,1803.319
12571.8,1646.085
12910.74,1666.151
13205.2,1836.627
13504.95,2009.137
13716.6,2065.839
14038.92,2124.95
14353.35,2175.768
14519.57,2257.054
14970.17,2322.699
15315.2,2363.424
15636.84,2431.611
15888.92,2498.397
16265.35,2569.883
16360.96,2643.147
16557.25,2685.354
16908.35,2781.682
17278.31,2874.189
17686.05,2948.075
17940.58,2994.695
18327.59,3066.8
18704.35,3172.722
18898.7,1304.771
19367.67,1294.091
19776.41,1343.684
20191.49,1395.177
20471.75,1446.215
20752.55,1501.502
21311.6,1563.877
21530,1624.424
22120.44,1655.844
22571.06,1723.054
22837.01,1784.163
23320.62,1850.017
23825.33,1638.989
24281.18,1369.239
24481.38,2040.962
25109.83,2108.262
25604.63,2187.559
26106.68,2262.563
26445.42,2346.984
26981.15,2390.231
27437.31,2486.304
27678.51,2570.131
28433.81,2676.202
28975.92,2736.695
29571.65,2835.699
29872.82,2936.944
30387.49,2980.014
30932.36,3103.375
31460.07,3203.181
32091.99,3319.763
32708.25,3405.791
33232.46,3523.218
33839,3648.888
30998.08,3710.453
28588.77,3857.254
26228.33,3981.226
22416.75,4082.767
21112.71,4164.601
19985.55,4302.139
18578.21,4425.461
18453.44,4557.784
18262.61,4674.703
17233.59,3212.795
17418.61,2392.846
17509.01,2472.363
17819.5,2570.667
17995.13,2625.512
18232.99,2732.908
18373.7,2847.583
18031.45,2960.724
18883.58,3082.175
18503.2,3144.226
19266.33,3276.369
19481.7,3406.871
19605.01,3529.637
19687.5,3363.497
20146.76,3742.876
20390.58,3898.597
20626.78,4052.292
20798.63,4191.051
21027.8,4333.149
21280.53,4485.383
21514.8,4648.297
21773.25,4731.322
22056.74,4881.596
22299.47,5039.158
22477.66,5252.182
22713.72,5425.595
22952.34,5603.028
23216.63,5744.694
23519.15,5953.686
23778.3,6134.629
23908.96,6234.916
24232.83,6456.06
24449.44,6656.111
24711.16,6869.441
24830.12,7059.979
25184.76,7263.483
25450.72,7490.116
25738.85,7595.604
26033.72,7918.28
26314.85,8138.62
26589.38,8352.937
26727.57,6602.572
27116.22,6841.686
27384.32,7059.267
27642.07,7188.417
28066.03,7404.162
28381.09,7643.713
28699.38,7888.561
28881.92,8018.046
29186.49,8250.778
29483.73,8498.606
29824.72,8804.967
30164.46,7903.196
30483.41,9362.111
30616.54,9519.197
31040.18,9769.689
31351.69,10059.75
31665.79,10415.46
31833.86,10572.22
32194.52,10865.81
32500.1,11177.46
32820.18,11546.65
32985.22,11858.55
33401.61,12202.95
33746.95,12445.41
34095.33,12815.29
34462.13,13108.18
34794.66,13277.6
35174.89,13620.96
35347.35,13970.31
35789.86,14325.76
36125.13,14687.31
36495.69,14962.49
14351.34,15381.72
14463.1,15808.81
5881.43,16211.3
3273.71,16587.64
3365.916,16836.23
3452.862,17307.01
3499.07,17734.78
3541.956,11151.72
3677.738,9711.736
3776.609,7462.227
3873.738,6318.376
3973.195,4387.717
3823.455,3766.758
4197.614,3146.808
3135.438,2854.032
4380.766,2487.624
4492.282,1598.379
4596.448,1625.721
4723.442,1530.693
4843.18,1582.078
4960.465,1632.268
5041.985,1690.661
5169.429,1720.516
5289.736,1267.064
5352.631,1552.25
5527.604,1904.273
5707.618,1918.803
5836.66,1904.836
5943.003,1734.955
6076.758,2117.244
6213.16,2175.615
6365.64,2228.457
6541.958,2288.647
6687.433,2350.255
6842.84,2413.32
6945.599,2483.863
7140.738,2519.826
7297.574,2586.984
7465.006,2658.953
7659.233,2742.568
7833.668,2821.91
7251.314,2896.476
7240.59,2976.41
7089.378,3042.396
7116.819,3142.758
7154.886,3187.614
7333.575,3286.874
7456.28,1071.49
7589.924,1008.977
7684.017,1066.99
7814.897,1113.498
7953.595,1156.905
8028.411,1195.26
7819.155,1248.115
8343.173,1302.964
8328.98,1326.428
8576.606,1396.579
8792.124,1449.373
8863.848,1242.463
9008.771,1441.604
9189.417,1637.578
9340.85,1706.648
9498.653,1739.126
9661.595,1821.184
9734.167,1893.763
9901.326,1972.203
10095.33,2046.563
10185.55,2126.888
10338.95,2217.199
10524.09,2254.198
10681.72,2355.694
10864.26,2441.089
11026.14,2537.005
11213.62,2627.46
11348.02,2720.395
11523.95,2824.649
11697.49,2877.901
11816.96,3000.526
12049.58,3112.829
12226.83,3223.374
12423.68,3306.945
12658.45,3417.499
9946.867,3535.977
8488.238,3652.074
8201.084,3787.32
8314.229,3909.356
8446.908,4028.553
8575.933,4028.553
8701.115,2585.12
8828.324,2438.548
8969.996,2526.351
9107.869,2625.203
9273.872,2722.477
9410.419,2822.464
9448.502,2878.17
8475.084,3021.089
9833.32,3144.176
9994.888,3265.75
10064.68,3338.807
10284.2,2825.362
10450.19,2948.53
10626.3,3699.703
10760.34,3835.678
10934.07,3975.224
11110.61,4106.277
11188.28,4191.238
11432.62,4327.213
11617.42,4472.667
11788.86,4608.437
11996.38,4760.467
12182.11,4902.324
12276.06,5040.153
12474.92,5202.077
12730.38,5353.154
12918.75,5507.318
13146.78,5679.736
13313.52,5855.961
13520.2,6035.992
13710.91,6236.063
13914.07,6374.751
14159.86,6565.794
14359.63,6760.752
14592.83,6942.204
14263.63,7144.795
14379.13,7351.497
14605.1,7553.073
14831.44,7749.017
15071.24,7958.065
15304.67,8180.76
15520.94,6027.08
15782.38,6157.626
16016.07,6269.068
16264,6438.812
16383.89,6628.333
16681.93,6813.18
16917.55,7001.51
17189.72,7096.989
17422.19,7361.944
17656.54,7578.797
17929.92,7781.425
18207.42,7949.945
18501.45,6725.279
18787.62,8325.722
19052.7,8529.775
19360.18,8809.972
19659.44,9034.524
19949.97,9290.19
20285.27,9575.544
20598.71,9704.246
20889.05,9976.174
21084.84,10298.02
21539.13,10558.19
21871.47,10718.68
22194,10997.65
22461.29,11329.29
22792.11,11618.94
23127.63,11913.57
23483.48,12137.94
23812.98,12416.13
24179,12737.54
24534.24,13011.89
24960.55,13330.46
25377.2,13654.45
25766.36,13970.04
16769.1,14178.61
10993.25,14559.6
8010.957,14875.39
6635.721,15035.1
6863.589,15432.33
7082.323,13172.63
7305.804,9259.944
7467.024,7147.115
7698.762,3813.633
7945.399,2755.13
8045.593,2040.762
8320.536,1557.94
8602.137,1296.578
8731.955,1071.018
8319.584,1052.925
9279.96,1092.458
9544.19,1135.122
9658.302,1172.665
10065.25,1218.738
10327.13,1258.885
10593.75,1279.37
10827.82,1341.49
11090.66,566.7725
11383.54,1416.375
11663.84,1411.377
12005.8,1309.692
12300.33,1558.43
12627.09,1584.231
12862.02,1643.664
13198.68,1698.29
13512.43,1745.125
13671.17,1802.386
14080.97,1861.663
14408.79,1920.419
14757.06,1949.215
15095.53,2024.588
15486.52,2091.564
15868.32,2154.895
16061.61,2202.592
16535.41,2284.243
16934.8,2353.303
16983.65,2388.594
17198.16,2500.886
17582.32,2583.074
17972.41,2657.018
18161.06,1085.025
18629.87,985.2913
19035.67,1030.859
19447.5,1078.266
19915.47,1132.08
20154.21,1164.503
20600.02,1217.036
21090.49,1279.083
21027.84,1335.752
21997.01,1399.815
22450.02,1462.021
22748.81,1498.579
23212.13,1562.105
23661.15,1002.935
24095.14,1711.246
24703.17,1788.175
24960.95,1861.015
25515.18,1925.731
25927.68,2006.385
26455.06,2085.909
26989.6,2186.682
27259.59,2275.331
27850.9,2370.749
