Q,Counter
80901.3,7469.576
82411.94,7664.746
83567.44,7772.63
84920.8,8023.218
85957,8226.946
87144.55,8443.559
88294.7,8625.288
89454.73,8848.664
91016.96,9075.739
92448.15,8576.647
93294.01,9056.926
95001.02,8807.454
96214.06,10010.49
96979.48,10170.17
98263.94,10429.13
99663.54,10692.36
100289.8,10814.42
101760.9,11197.39
103193,11484.45
104423.4,11764.48
105501.1,12036.95
107459.4,12325.55
108447.5,12581.67
110091.8,12791.46
111503.6,13091.42
112572.3,13395.94
113294.9,13537.05
114303.2,13913.72
115373.7,14217.23
117077.1,14498.05
117992.1,14809.66
119373.3,15125.54
121114.5,15445.81
122167,15600.59
124527.5,16013.63
125659.1,16317.24
126677.4,16654.21
129039.6,16980.89
130620.6,13654.47
131973.2,7949.926
133708.2,8070.843
134831.3,4026.894
136527.7,2625.193
138875.3,1315.875
140348,942.2522
141766.2,961.9044
143906.7,993.243
146269.4,1009.474
147526.5,1046.015
149726.8,1077.692
151948.5,1095.748
153033.5,554.4213
155768,1170.852
157770.3,1210.138
158603.9,1156.738
161245.5,1123.134
163169.9,1152.122
165306.4,1241.477
167244.9,1395.848
168763,1442.797
152634.2,1487.205
137800.5,1502.645
110306.3,1559.188
86491.18,1605.981
51755.71,1632.991
4447.965,1692.543
1953.389,1742.898
2250.209,1790.072
1814.328,1850.067
2305.848,1904.604
2741.513,1958.105
2031.709,1987.859
2884.692,2053.709
2963.699,2118.82
2997.171,2167.249
3099.631,2224.096
3173.186,2282.696
3259.181,2348.491
3339.833,2424.909
3426.011,611.6297
3475.564,584.8217
3568.661,614.1026
3675.999,630.5624
3753.28,659.496
3850.036,692.3915
3919.479,722.0295
4022.831,758.9329
4128.329,797.3342
4175.463,833.8994
4293.098,863.0825
4399.692,903.9065
4512.352,566.1281
4585.7,796.8115
4697.546,1027.859
4744.834,1059.799
4869.641,1123.383
4995.808,1160.396
5099.666,1205.126
5225.608,1255.836
5328.162,1310.607
5443.475,1369.692
5559.293,1430.836
5687.953,1483.402
5808.013,1548.564
5931.625,1613.173
6054.907,1644.822
6162.937,1712.559
6319.01,1791.679
6466.251,1870.315
6537.88,1941.664
6738.132,2004.938
6886.853,2076.719
7025.509,2153.999
7218.178,2229.772
7388.605,2315.084
7542.089,2410.575
7621.64,2496.984
7822.489,2581.544
7983.748,2680.668
8061.882,2782.456
8271.001,1660.914
8454.923,1658.368
4720.008,1729.347
3852.01,1805.562
2603.888,1870.816
2538.702,1947.837
2525.827,2030.484
2630.694,2076.262
2711.764,2195.921
2798.417,2289.906
2858.655,2371.078
2952.953,1955.128
3031.089,1765.711
3107.143,2614.573
2204.416,2742.936
2286.048,2848.923
2946.92,2903.216
3349.976,3008.138
3567.787,3144.217
3672.622,3250.344
3721.521,3358.989
3853.09,3454.843
3974.337,3573.412
4084.191,3705.524
4171.912,3764.723
4301.394,3929.494
4418.747,4070.534
4470.595,4203.369
4623.849,4287.535
4763.713,4447.565
4884.712,4588.807
4979.926,4663.719
5105.376,4841.867
5256.923,4998.318
5418.162,5151.579
5497.2,5273.811
5639.337,5439.912
5797.194,5609.585
5978.15,5688.564
6136.75,5900.492
6305.403,6064.865
6422.146,4478.968
6589.812,4671.467
5553.328,4819.475
5012.478,4957.953
5173.705,5066.814
5310.198,5229.846
5443.816,5376.257
5528.628,5457.3
5649.104,5656.615
5795.264,5811.158
5860.524,5975.831
6053.679,6195.39
6214.336,6374.926
6352.932,6550.225
6003.294,6701.066
6604.967,6873.527
6750.801,7056.93
6947.172,7153.88
7120.301,7383.455
7204.69,7575.585
7361.572,7762.43
7513.943,7952.276
7691.213,8162.861
7871.823,8368.13
7971.051,8476.571
8167.819,8733.184
8356.108,8949.244
8555.674,9194.455
8709.686,9358.245
8907.173,9602.686
9099.565,9841.417
9277.909,9972.415
9458.811,10248.27
9677.503,10497.76
9908.831,10751.38
10053.2,10933.56
10245.02,11183.45
10476.9,11448.38
10750.74,11560.03
10961.96,8512.181
11088.18,6033.071
11324.04,4149.18
9362.993,2902.907
6062.65,1789.303
5252.862,1419.761
4894.543,1442.517
4696.445,1457.419
4819.662,1495.704
4903.032,1538.825
5097.291,1578.298
5246.452,1630.69
5405.011,1680.252
5508.196,1076.142
5652.249,1752.272
5171.983,1803.794
5703.888,942.3988
5399.777,1739.854
5645.079,1964.463
6392.479,1926.98
6550.904,2049.484
6726.6,2102.973
6823.029,2160.202
6995.87,2231.728
7225.789,2266.722
7421.375,2326.906
7612.619,2382.966
7725.773,2415.475
7914.225,2495.465
8089.061,2554.694
8283.585,2616.364
8472.62,2685.486
8664.58,2748.408
8859.532,2812.565
9111.996,2881.102
9341.519,2954.203
9443.735,3025.512
9650.419,3101.512
9869.764,3168.803
10072.99,3251.074
10308.7,3331.613
10558.15,3370.73
10679.31,1410.572
10903.83,1412.482
11110.63,1442.02
11349.59,1481.388
11570.84,1521.643
11779.64,1570.808
12016.35,1592.875
12300.1,1652.332
12543.58,1696.654
12790.16,1746.513
12971.51,1800.006
13235.24,1850.357
13537.7,1897.223
13678.85,1877.342
13976.05,2016.439
14253.23,2069.443
14509.45,2121.998
14821.22,2176.444
15118.96,2242.656
15385.24,2272.297
15525.96,2335.289
15887.97,2416.675
16163.21,2485.711
16455.05,2547.525
16818.11,2613.796
16994.84,2681.616
17296.77,2760.564
17630.25,2799.168
17939.77,2888.585
18281.62,2988.838
18656.89,3064.853
18905.04,3149.653
19214.65,3225.46
19527.71,3313.931
19874.52,3392.97
20317.7,3485.239
20503.04,3528.222
20861.54,3619.504
21224.37,3729.09
21559.44,3816.138
21898.13,1498.112
22256.82,1224.565
22652.73,1266.69
23036.68,1314.287
17792.94,1365.54
13866.97,1413.722
9899.737,1465.617
8077.819,1516.534
7688.982,1589.164
5885.322,1625.19
5268.765,1685.737
4263.661,1750.745
4070.64,1817.702
3864.318,1705.898
3949.665,1957.493
4043.748,2005.83
3083.494,2065.972
4200.073,2131.324
4164.474,2198.176
3850.858,2273.115
3381.119,2346.508
4609.514,2414.739
3763.535,2509.134
4769.131,2580.748
4877.849,2661.188
4642.042,2754.726
5080.408,2838.988
5195.57,2929.049
5252.854,3029.219
5363.955,3098.705
5496.664,3198.764
5606.678,3288.207
5723.556,3396.986
5831.934,3508.28
5957.735,3617.575
6080.24,3729.289
6134.098,3829.024
6286.813,3930.611
6400.028,4039.051
6543.933,4149.619
6687.032,4277.848
6809.072,2462.507
6938.758,2504.125
7016.299,2563.437
7161.238,2651.07
7296.219,2733.675
5753.202,2803.35
5818.432,2885.661
5921.935,2977.558
6022.268,3024.367
6133.877,3139.867
6242.814,3229.731
6352.186,3321.532
6473.488,2791.119
6570.99,3467.912
6685.509,3581.861
6796.451,3681.557
5993.756,3791.189
7001.394,3903.124
7071.854,4022.173
7268.113,4104.555
7324.8,4217.893
7474.059,4333.452
7608.414,4399.75
7756.968,4550.206
7865.552,4666.699
8012.451,4796.16
8099.257,4894.919
8237.381,5003.115
8409.807,5153.781
8541.509,5217.062
8685.408,5386.445
8844.726,5517.441
8986.195,5650.667
9143.362,5786.196
9288.899,5930.37
9471.854,6070.652
9650.705,6141.666
9832.431,6358.186
10002.17,6512.19
10084.24,6661.945
10250.12,6779.323
10338.13,4956.835
10581.04,3949.604
10777.52,3016.598
10952.91,1804.945
11171.47,1399.427
10923.58,1329.639
10821.08,1337.979
10905.88,1382.771
11042.13,1402.881
11218.13,1447.681
11360.46,1505.224
11540.39,1551.944
11710.8,764.6502
11872.13,1608.336
11953.47,1439.212
12162.61,1706.734
12329.02,1225.064
12271.36,1643.334
12543.59,1810.094
12784.57,1904.407
13063.54,1962.937
13166.91,2014.101
13335.32,2043.018
13521.8,2099.487
13674.28,2170.089
13884.43,2226.992
14077.13,2293.182
14272.15,2347.326
14383.4,2410.974
14586.47,2476.103
14795.29,2510.686
14980,2596.045
15211.26,2662.483
15418.19,2721.64
15618.24,2796.531
15709.87,2870.509
15987.41,2939.441
16212.29,2976.094
16439.71,3078.026
16621.54,3154.615
16843.78,3232.832
16941.14,1190.465
17176.7,821.3397
17444.86,855.7664
17696.22,874.9935
17950.7,931.2025
15802.74,970.7639
15596.68,1015.205
15775.45,1064.887
15857.31,1108.618
16096.87,1155.712
16289.16,1192.03
16475.06,1239.752
16564.57,747.0646
16769.59,1317.421
16968.14,1380.339
17160.04,1433.665
17407.06,1486.124
15712.46,1537.553
17700.82,1592.898
17983.68,1645.424
18185.9,1705.545
18399.67,1759.115
18597.05,1819.428
18873.12,1884.035
18966.63,1953.143
19201.91,2018.047
19457.09,2093.679
19685.55,2127.592
19906.54,2212.472
20013.67,2286.67
20298.74,2362.679
20556.44,2417.778
20775.23,2509.865
20975.01,2591.325
21229.84,2630.957
21476.64,2763.837
21606.43,2859.014
21912.06,2948.674
22166.06,3048.409
22445.23,3146.391
22636.92,1915.007
22888.4,1718.978
23163.24,1571.571
23407.31,1630.533
23736.56,1661.926
23855.21,1739.582
24142.26,1811.448
10585.42,1876.826
2879.912,1929.172
2178.129,2006.613
1765.199,2046.145
1771.82,2114.296
1832.97,1567.909
1895.621,1959.677
1972.263,2345.461
2044.762,2417.269
2080.108,2494.294
2155.422,2580.418
2239.445,2627.983
2322.224,2728.823
2136.414,2812.299
2472.077,2909.305
2088.416,2980.62
2645.962,3077.655
2749.322,3131.176
2839.439,3227.521
2927.42,3347.682
2976.146,3453.277
3100.397,3511.484
3193.887,3639.264
3293.801,3741.973
3409.422,3846.714
3504.881,3963.296
3603.884,4072.288
3668.096,4183.313
3802.372,4291.188
3915.134,4411.461
4030.185,4550.106
4126.992,4680.7
4235.917,4752.498
4357.624,4898.321
4470.966,3748.323
4580.877,3070.427
4720.967,2552.373
4893.04,2597.367
4963.106,2685.188
5153.469,2724.508
5273.618,2819.246
5401.013,2897.64
5536.745,2985.435
5687.466,3079.288
5751.083,3183.562
5938.285,2845.359
6096.264,3202.76
6243.507,3456.078
6393.135,3556.321
6540.73,3545.646
6701.257,3712.069
6793.14,3817.086
6964.695,3924.242
7206.152,3981.028
7377.666,4125.64
7475.873,4239.069
7651.867,4364.943
7838.646,4452.108
7925.341,4572.08
8173.433,4694.488
8347.953,4743.999
8570.75,4920.138
8713.134,5054.337
8882.781,5191.208
9072.074,5289.825
9260.013,5437.37
9480.634,5581.836
9677.673,5642.847
10350.91,5835.029
10868.7,5980.597
11045.19,6128.734
11283.53,6239.924
11515.17,6392.71
11822.16,6575.577
12113.71,6658.069
12346.2,6846.411
12570.91,2029.774
12373.65,1411.026
12600.71,1002.338
12851.72,967.3985
13031.61,1003.688
13299.36,1019.871
13581.94,1068.044
13813.24,1111.058
14216.31,1155.496
14466.71,1181.055
14600.39,1226.057
14889.59,1270.588
14751.88,1289.959
15432.22,959.3332
15576.06,1405.308
15890.97,1381.102
16197.98,1488.724
16459.07,1537.249
16799.22,1586.197
17105.86,1613.379
17403.49,1685.311
17547.16,1740.294
17992.7,1796.653
18359.69,1841.72
18659.3,1903.234
18958.16,1958.477
19291.74,1993.337
19615.27,2075.72
19785.6,2137.85
20172.76,2186.491
20521.43,2266.467
20874.36,2336.016
21171.73,2404.104
21562.72,2467.347
21912.78,2535.129
22235.81,2607.736
22687.27,2685.502
23018.08,2758.168
23352.23,2835.998
23609.06,2915.571
23965.38,3000.623
24093.3,1251.739
24409.81,1296.867
24827.87,1341.365
25218.2,1383.962
25414.96,1434.288
25795.09,1483.812
26280.07,1511.396
26669.27,1584.521
26908.2,1638.049
27386.18,1692.952
27751.09,1767.533
28105.27,736.6243
28424.32,1647.138
28884.03,1958.214
29280.88,2002.375
29663.29,2089.052
30081.89,2122.02
30526.64,2198.388
30938.35,2270.475
31353.95,2344.466
31792.56,2417.121
32235.4,2488.19
32448.69,2564.44
33035.34,2653.326
33470.2,2733.585
33949.12,2819.562
34412.63,2915.441
34921.45,2982.133
35373.56,3070.242
35913.15,3160.398
36353.22,3214.667
36839.55,3334.08
37308.98,3430.324
37825.85,3524.181
38303.98,3619.978
38786.32,3731.837
39228.54,3831.792
39719.04,3938.589
40326.95,4057.544
40599.24,4174.038
36131.03,4235.818
32034.98,1650.856
28530.16,1447.741
27239.21,1329.742
27126.96,1388.842
27481.97,1455.16
27873.11,1518.537
28301.37,1583.987
28667.46,1631.602
29036.93,1697.679
29426.81,1771.661
29799.71,1803.728
27889.28,1485.497
28619.59,1265.945
29775.28,1690.823
30612.84,1901.162
31804.89,2203.915
32093.73,2245.737
32493.99,2288.135
32953.17,2404.01
33361.08,2493.663
33829.07,2585.736
34225.89,2656.377
34626.16,2722.704
34991.27,2838.292
35437,2888.132
35906.5,3011.194
36360.73,3115.896
36779.14,3227.781
37201.11,3310.171
37626.57,3417.709
38158.31,3474.824
38591.84,3581.33
39028.99,3685.161
39490.88,3791.111
39978.07,3903.104
40491.22,3988.376
40836.03,4170.998
41357.41,4286.68
41861.68,4353.777
42126.59,4507.478
30068.7,4641.399
22050.7,3143.664
11532.43,3095.798
7756.983,3194.643
5121.952,3307.05
3682.752,3417.812
2604.539,3490.077
1118.485,3609.802
1131.339,3722.837
1171.363,3770.664
1219.298,3907.001
1246.834,4026.732
1301.378,3561.325
1351.511,2971.665
1212.408,4364.309
1250.596,4499.322
1450.311,4554.132
1522.557,4715.684
1301.136,4852.383
898.7385,4991.849
1696.358,5164.059
1754.695,5309.744
1809.779,5464.685
1870.225,5559.242
1932.152,5700.123
1978.877,5856.808
2043.381,5943.029
2109.433,6145.74
2171.127,6318.654
2243.277,6502.333
2307.913,6610.081
2380.369,6792.567
2412.431,6963.655
2497.387,7061.712
2577.847,7229.892
2656.793,7416.562
2730.452,7598.588
2809.302,7751.271
2893.6,7865.125
2979.803,8079.687
3067.935,8298.388
2201.58,8478.151
1957.948,5801.669
1772.643,3426.153
1821.643,2671.746
1869.972,2176.47
1920.591,1742.743
1972.373,1807.592
2025.315,1862.59
2052.222,1924.345
2124.635,1959.953
2188.877,2052.748
2249.566,2113.692
2306.363,2180.83
1974.06,2247.299
2403.963,1343.152
2467.194,2395.172
2535.162,2430.989
2586.015,2511.917
2648.876,2613.495
2717.087,2693.894
2790.055,2768.957
2868.001,2856.81
2944.427,2905.351
2998.592,2992.447
3074.423,3093.066
3148.333,3192.364
3231.002,3290.044
3310.818,3369.006
3414.934,3462.241
3456.565,3566.193
3552.713,3619.074
3635.119,3723.839
3719.051,3841.283
3808.695,3953.798
3904.435,4047.484
4010.9,4171.532
4111.057,4291.512
4190.916,4352.54
4294.844,4487.138
4391.601,4598.275
4499.69,4733.458
1887.138,2838.184
1500.118,2347.36
1499.256,2099.816
1560.974,2134.528
1616.979,2228.126
1671.973,2307.876
1733.926,2382.802
1803.306,2445.402
1866.118,2527.086
1936.575,2610.682
1978.632,2696.266
2047.707,2530.607
2112.979,2764.834
1832.616,2362.989
2261.934,2637.031
2334.577,3137.578
2415.816,3230.764
2471.185,3282.45
2548.905,3409.87
2628.465,3509.041
2732.381,3610.438
2774.033,3704.55
2866.59,3810.197
2961.459,3913.121
3054.624,4023.121
3141.574,4140.863
3233.862,4270.168
3280.765,4333.227
3406.865,4488.452
3509.48,4603.376
3609.813,4720.418
3716.983,4845.304
3821.673,4972.561
3874.834,5132.048
3987.792,5198.069
4123.596,5375.025
4252.46,5508.004
4355.106,5670.745
4492.094,5741.554
4624.031,5944.357
4747.521,6077.809
4810.206,3846.251
4968.369,3003.641
5109.354,2507.398
5241.122,2188.784
5338.473,1931.208
5464.071,1986.869
5595.191,2052.451
5760.709,2125.546
5910.081,2188.473
6062.304,2265.226
6203.783,2301.56
6361.47,2370.74
6514.976,2195.75
6685.433,1918.297
6786.352,2165.221
6969.373,2388.247
7133.46,2717.916
7284.287,2845.964
7478.13,2893.884
7651.059,3006.79
7818.835,3090.945
7940.295,3188.58
8166.398,3243.459
8349.871,3349.521
8562.016,3440.613
8708.53,3486.85
8900.886,3628.316
9114.272,3724.926
9231.44,3827.894
9478.348,3923.664
9701.862,4035.167
9900.618,4139.303
10112.1,4240.476
10336.84,4353.323
10555.35,4463.332
10777.35,4580.566
11023.51,4684.403
11263.4,4795.326
11496.53,4924.469
11711.56,4984.508
11951.55,5134.13
12195.29,3442.337
9707.393,2653.961
8570.653,2520.185
8697.71,2491.82
8888.305,2532.767
9099.762,2616.386
9296.833,2705.654
9405.634,2787.128
9603.411,2877.732
9854.292,2927.526
10071.73,3013.789
10282.99,2458.89
10517.09,2333.861
9708.251,3020.479
10429.96,3354.537
11078.27,3442.495
11356.55,3515.922
11629.34,3611.723
11863.86,3701.133
12069.18,3805.585
12321.56,3907.955
12599.7,4007.989
12734.99,4078.544
13043.3,4204.296
13310.18,4319.4
13581.07,4441.994
13843.94,4567.339
14130.79,4685.086
14289.72,4799.952
14574.04,4863.546
14875.01,5014.601
15180.44,5135.925
15477.42,5265.253
15791.82,5408.792
15950.74,5537.69
16272.06,5614.996
16570.64,5759.931
16831.67,5920.264
17151.61,6065.027
17490.09,6212.54
17862.13,6336.497
18050.29,2380.211
14508.96,1748.769
11893.34,1281.256
9474.369,994.563
7704.533,1041.422
6343.904,1086.949
6412.671,1127.333
6261.755,1186.532
6413.693,1238.701
6575.189,1266.585
6739.781,1328.581
6895.851,1340.471
7058.459,1189.475
7151.651,1309.247
5867.797,1422.384
6258.32,1621.277
6300.518,1661.092
7811.637,1734.042
7610.619,1803.253
8199.835,1871.336
8288.176,1954.238
8516.325,2026.497
8698.884,2062.647
8875.458,2140.383
9072.785,2241.263
9272.992,2323.605
9471.599,2411.785
9578.523,2494.64
9849.708,2579.431
10052.14,2666.158
10248.26,2706.219
10466.29,2828.862
10687.71,2921.198
10892.83,3015.575
11100.78,3081.95
11341.88,3210.685
11576.45,3325.437
11804.19,3386.243
12056.38,3500.545
12173.28,3617.503
12420.41,3737.201
12671.32,2844.736
12970.78,2388.421
13155.27,2471.545
13403.29,2515.755
13620.3,2623.74
13886.47,2715.717
14144.72,2806.023
14287.09,2878.172
14631.27,2976.389
14898.89,3072.728
15157.69,3115.307
15470.06,3156.075
15761.64,3352.495
15902.51,2791.441
16111.04,3583.201
16594.14,3626.023
16901.03,3761.274
17239.27,3875.309
17582.39,3991.986
17734.92,4111.307
18038.05,4227.916
18383.25,4336.024
18713.77,4468.395
19019.35,4592.262
19358.27,4660.847
19626.63,4823.679
19973.47,4960.388
20324.77,5106.026
20664.95,5242.29
21040.69,5374.891
21389.39,5529.457
21774.58,5621.11
21985.34,5807.712
22378.39,5971.236
22743.25,6138.1
22994.51,6315.469
23469.02,6481.85
23864.2,6569.876
24281.75,6740.969
24616.07,6938.278
25007.31,7116.316
25403.09,3171.945
25803.49,2260.719
25853.37,1849.138
26145.65,1791.393
26502.76,1749.58
26972.15,1801.418
27392.21,1860.67
27779.73,1929.883
28189.77,1989.567
28599.74,2062.472
29074.58,2128.369
29496.9,2171.162
29826.09,1696.048
30255.79,1760.149
30130.37,2257.203
31048,2470.265
31671.92,2508.111
32058.69,2612.237
32634.73,2725.533
33155.14,2805.906
